Title,Year,Agency,Keywords
"Product Quality, Firm Heterogeneity and Trade Liberalization",2015,Journal of International Trade & Economic Development,center;census;business;firms;economic;rdc;firm;journal;impact;trade
The Empirics of Firm Heterogeneity and International Trade,2012,Center for Economic Studies,working;economic;rdc;paper;studies;center;firm;discussion;impact;trade
How Will the Affordable Care Act Change Employers' Incentives to Offer Insurance?,2014,Center for Economic Studies,firms;working;economic;rdc;paper;studies;center;discussion;census;data
Employers' Changing Economic Incentives to Offer Health Insurance under the Affordable Care Act,2016,American Journal of Health Economics,discussion;center;business;impact;economic;rdc;journal;census;economics;data
New Evidence on Employer Price-Sensitivity of Offering Health Insurance,2014,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;evidence;census;data
How do Firms Grow in the U.S.? Evidence using a Novel Decomposition and Implications for Strategy Research,2020,Syracuse University,data;center;census;paper;working;firm;evidence;university;firms;business
Three Essays on Energy Policy and Investment,2017,University of Michigan,economic;discussion;data;center;census;impact;working;firm;university;business
The Effects of Occupational Licensing: Evidence from Business-Level Data,2018,British Journal of Industrial Relations,economic;discussion;center;census;impact;firm;evidence;journal;data;business
The Effects of Occupational Licensing Evidence from Detailed Business-Level Data,2017,Center for Economic Studies,working;economic;paper;studies;center;firm;discussion;evidence;data;business
Essays on Firm Dynamics,2020, University of Michigan,economic;discussion;data;center;census;impact;working;university;firm;business
Three Essays on Regulation and Entrepreneurship,2014,University of Michigan,economic;discussion;data;center;census;impact;working;firm;university;business
"Dynamic Inputs, Misallocation, and Policy: Evidence for Electricity-Intensive Manufacturing",2020,University of Wisconsin-Madiso,center;census;firms;paper;working;firm;evidence;university;manufacturing;business
How Do Frictions That Impede Transfer of Business Ownership Affect Business Entry and Exit? Evidence from Product Line Exception Adoptions,2020, University of Michigan,data;center;census;firms;paper;working;firm;evidence;university;business
Brighter Prospects? Assessing the Franchise Advantage using Census Data,2017,Center for Economic Studies,working;economic;paper;studies;center;firm;discussion;census;data;business
Why is Productivity Correlated with Competition?,2020,Econometrica,economic;discussion;data;center;census;impact;working;firm;productivity;business
Brighter Prospects? Assessing the Franchise Advantage using Census Data,2019,Journal of Economics and Management Strategy,economic;discussion;center;impact;firm;journal;census;economics;data;business
Destructive Creation at Work: How Financial Distress Spurs Entrepreneurship,2016,University of North Carolina at Chapel Hill,economic;discussion;data;center;census;business;impact;working;firm;university
When Does Higher Firm Leverage Lead to Higher Firm Pay?,2023,Review of Corporate Finance Studies,business;economic;paper;center;discussion;labor;market;studies;2023;firm
"Pay, Employment, and Dynamics of Young Firms",2019,Center for Economic Studies,census;business;working;economic;paper;studies;center;firm;discussion;firms
Going Entrepreneurial? IPOs and New Firm Creation,2017,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;discussion;firm
Destructive Creation at Work: How Financial Distress Spurs Entrepreneurship,2017,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;firm;discussion
"Pay, Employment, and Dynamics of Young Firms",2019, Kenan Institute of Private Enterprise,data;center;census;business;impact;working;paper;firm;discussion;firms
Entrepreneurial Wages,2018,Columbia Business School Research Paper,economic;discussion;data;center;census;impact;working;paper;firm;business
Entrepreneurial Spillovers from Corporate R&D,2018,NBER,economic;discussion;data;center;census;business;impact;paper;working;firm
Destructive Creation at Work: How Financial Distress Spurs Entrepreneurship,2020,Review of Financial Studies,economic;discussion;data;center;census;business;impact;working;studies;firm
"IPOs, Human Capital, and Labor Reallocation",2024,Journal of Financial and Quantitative Analysis,discussion;data;center;census;business;firms;mimeo;labor;journal;firm
"Market Power, Finance Wages and Inequality",2019,University of North Carolina at Chapel Hill,discussion;data;center;census;business;firms;working;firm;university;market
Entrepreneurial Spillovers from Corporate R&D,2024,Journal of Labor Economics,discussion;data;center;census;business;impact;firm;labor;journal;economics
"IPOs, Human Capital, and Labor Reallocation",2023,Unknown,business;economic;paper;studies;center;mimeo;discussion;labor;2023;firm
"Firm Leverage, Labor Market Size, and Employee Pay",2017,Federal Reserve Board of Governors Finance and Economics Discussion Paper,census;business;firms;working;paper;discussion;labor;economics;market;firm
Going Entrepreneurial? IPOs and New Firm Creation,2017,Federal Reserve Board of Governors Finance and Economics Discussion Paper,data;center;census;business;impact;working;paper;discussion;economics;firm
"Firm Leverage, Labor Market Size, and Employee Pay",2018,Center for Economic Studies,business;working;economic;paper;studies;center;discussion;labor;market;firm
Examining the Long-term Mortality Effects of Early Health Shocks,2019,Applied Economics Letters,economic;discussion;data;center;census;business;impact;working;rdc;economics
Examining the Long Term Mortality Effects of Early Health Shocks,2014,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-age Mortality,2018,Biodemography and Social Biology,economic;discussion;data;center;census;business;impact;working;rdc;evidence
New Evidence on the Impacts of Early Exposure to the 1918 Influenza Pandemic on Old-Age Mortality,2018,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;evidence
Housing Recovery in New Orleans: Assessing Vulnerability and Resilience using the American Housing Survey,2012,Portland State University,discussion;data;center;census;business;firms;working;rdc;mimeo;university
"Wealth, Tastes, and Entrepreneurial Choice",2017,"In Measuring Entrepreneurial Businesses: Current Knowledge and Challenges, edited by John Haltiwanger, Erik Hurst, Javier Miranda, and Antoinette Schoar, University of Chicago Press",discussion;data;center;census;business;firms;working;rdc;firm;university
Older and Slower: The Startup Deficit's Lasting Effects on Aggregate Productivity Growth,2018,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;productivity
Older and Slower: The Startup Deficit's Lasting Effects on Aggregate Productivity Growth,2018,Journal of Monetary Economics,data;center;census;business;firms;rdc;firm;journal;productivity;economics
Older and Slower: The Startup Deficit's Lasting Effects on Aggregate Productivity Growth,2017,NBER,data;center;census;business;firms;rdc;paper;working;firm;productivity
"Wealth, Tastes, and Entrepreneurial Choice",2015,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;firm;discussion
Grown-up Business Cycles,2019,Review of Financial Studies,discussion;data;center;census;firms;working;rdc;studies;firm;business
"Firm Dynamics, Persistent Effects of Entry Conditions, and Business Cycles",2017,Center for Economic Studies,firms;working;economic;rdc;paper;studies;center;discussion;business;firm
"Firm Dynamics, Persistent Effects of Entry Conditions, and Business Cycles",2016,Northwestern University,data;center;census;firms;working;rdc;mimeo;university;business;firm
Grown-Up Business Cycles,2015,Center for Economic Studies,firms;working;economic;rdc;paper;studies;center;firm;discussion;business
The Role of Startups in Structural Transformation,2016,American Economic Review,discussion;data;center;census;business;impact;working;economic;rdc;firm
The Role of Start-Ups in Structural Transformation,2016,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;firm;discussion
"Wealth, Tastes, and Entrepreneurial Choice",2015,NBER,discussion;data;center;census;business;firms;rdc;paper;working;firm
Estimating Market Power: Evidence from the U.S. Brewing Industry,2016,NBER,center;census;business;firm;rdc;paper;working;evidence;manufacturing;market
Estimating Market Power: Evidence from the U.S. Brewing Industry,2017,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;evidence;manufacturing;market
Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970,2014,NBER,economic;discussion;data;center;census;business;firms;rdc;paper;working
"Relationship Between Season of Birth, Temperature Exposure, and Later Life Wellbeing",2017,Proceedings of the National Academy of Sciences,economics;economic;discussion;data;center;census;business;impact;working;rdc
Every Breath You Take - Every Dollar You'll Make: The Long-Term Consequences of the Clean Air Act of 1970,2017,Journal of Political Economy,economics;economic;discussion;data;center;census;business;impact;rdc;journal
Every Breath You Take – Every Dollar You Make: The Long-Term Consequence of the Clean Air Act of 1970,2013,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
The New El Dorado: Black Locational Attainment in the Post-Civil Rights Era,2015,University of North Carolina at Chapel Hill,economic;discussion;data;center;census;business;firms;working;rdc;university
Economic and Policy Uncertainty: Export Dynamics and the Value of Agreements,2018,NBER,census;firm;economic;rdc;paper;working;business;impact;trade;data
Global Sourcing under Uncertainty,2015,University of Maryland,discussion;center;census;firms;working;mimeo;business;impact;trade;data
Trade Collapse and Policy Uncertainty in the Great Recession,2015,University of Maryland,discussion;center;census;firms;working;mimeo;business;impact;data;trade
Reservation Employer Establishments: Data from the U.S. Census Longitudinal Business Database,2017,Center for Economic Studies,working;rdc;paper;studies;center;discussion;business;census;data;economic
Reservation Employer Establishments: Data from the U.S. Census Longitudinal Business Database,2017,Center for Indian Country Development,discussion;firms;economic;rdc;paper;center;working;business;census;data
Reservation Nonemployer and Employer Establishments: Data from U.S. Census Longitudinal Business Databases,2018,Center for Economic Studies,working;rdc;paper;studies;center;discussion;business;census;data;economic
Opportunities to Diversify: Reservation Workplaces and Job Numbers Compared to Nearby County Areas,2019,Cambridge University Press,economics;discussion;data;center;census;business;impact;working;economic;university
Supplement to Reservation Employer Establishments,2017,Center for Indian Country Development,discussion;data;census;business;firms;economic;rdc;paper;center;working
How Economically Significant Are Unused Capacity Costs? A Large-Scale Empirical Analysis,2021,Management Science,economics;economic;discussion;center;business;impact;working;evidence;census;data
An Empirical Analysis of Capacity Costs,2017,Center for Economic Studies,working;economic;rdc;paper;studies;center;discussion;evidence;census;data
Internal Labor Markets and Investment in Conglomerates,2013,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;discussion;labor;firm
The Micro Elasticity of Substitution and Non-Neutral Technology,2019,RAND Journal of Economics,discussion;data;center;census;business;impact;rdc;journal;economics;firm
How Important Are Sectoral Shocks?,2014,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;firm
When Liability Becomes Potential: Intermediary Entrepreneurship in Dynamic Market Contexts,2018,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;discussion;market;firm
Are Firm-Level Idiosyncratic Shocks Important for U.S. Aggregate Volatility?,2016,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;firm
How Wide is the Firm Border?,2017,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;firm
How Wide is the Firm Border?,2017,NBER,discussion;data;center;census;business;firms;rdc;paper;working;firm
Firm-Specific Shocks and Aggregate Volatililty,2017,University of Chicago,economic;discussion;data;center;census;business;impact;working;university;firm
How Wide is the Firm Border?,2016,University of Chicago,data;center;census;business;firms;working;rdc;mimeo;university;firm
How Wide is the Firm Border?,2019,Quarterly Journal of Economics,economic;discussion;data;center;census;business;impact;journal;economics;firm
How Important Are Sectoral Shocks?,2017,American Economic Journal: Macroeconomics,discussion;data;center;census;business;impact;economic;rdc;journal;firm
Are Firm-level Idiosyncratic Shocks Important for U.S. Aggregate Volatility?,2017,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;firm
"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",2019,Society for Economic Dynamics,data;center;census;business;working;economic;impact;firms;papers;trade
"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Apocryphal",2018,Stanford University,census;business;evidence;working;rdc;mimeo;university;impact;firms;trade
Do R&D Tax Credits Create Jobs?,2018,Stanford University,center;census;business;firm;working;rdc;mimeo;university;trade;firms
Managing Trade: Evidence from China and the U.S,2019,Center for Economic Studies,business;working;economic;paper;studies;center;discussion;evidence;firms;trade
"The Impact of Chinese Trade on U.S. Employment: The Good, The Bad, and The Debatable",2024,Unknown,discussion;data;center;census;business;working;mimeo;impact;firms;trade
Managing Trade: Evidence from China and the U.S,2018,NBER,data;center;census;business;rdc;paper;working;evidence;firms;trade
Do Innovative Firms Offshore Less?,2018,Stanford University,center;census;business;firm;working;rdc;mimeo;university;trade;firms
"Firm Boundaries, Restructuring, and Productivity: Plant-Level Evidence from Competitive Shocks",2015,Northeastern University,center;census;business;working;rdc;mimeo;evidence;university;productivity;firm
Does IT Level the Playing Field for Small Establishments? Evidence from Manufacturing,2018,Georgia Tech Scheller College of Business,center;census;firms;working;rdc;paper;firm;evidence;business;manufacturing
The Digital Reorganization of Firm Boundaries: IT Use and Vertical Integration in U.S. Manufacturing,2016,Georgia Institute of Technology,data;center;census;business;firms;working;rdc;mimeo;manufacturing;firm
Data in Action: Data-Driven Decision Making in U.S. Manufacturing,2015,MIT Mimeo,center;census;business;firms;working;rdc;firm;mimeo;manufacturing;data
The Rapid Rise of Data-Driven Decision Making,2016,American Economic Review,discussion;center;census;business;impact;working;economic;rdc;firm;data
"Organizational Form, Strategic Restructuring, and Firm Efficiency: Plant-Level Evidence from Competitive Shocks",2016,Northeastern University,center;census;business;firms;working;rdc;mimeo;evidence;university;firm
Economic Measurement of AI,2018,University of Toronto,center;census;business;firms;working;economic;rdc;firm;mimeo;university
The Rise of Data-Driven Decision Making is Real but Uneven,2016,Harvard Business Review,economic;discussion;center;census;impact;working;rdc;firm;business;data
Taking a Value-Chain Perspective on Innovation,2016,MIT Sloan Management Review,economic;discussion;data;center;census;business;impact;working;rdc;firm
Financial disclosure transparency and employee wages,2022,The Financial Review,economics;economic;discussion;data;center;census;business;impact;working;firm
Economies before Scale: Survival and Performance of Young Plants in the Age of Cloud Computing,2019,MIT,discussion;data;center;census;business;firms;working;rdc;firm;mimeo
A Firm's Information Environment and Employee Wages,2018,Northeastern University,data;center;census;business;firms;working;rdc;mimeo;university;firm
Organizational Form and Trade Liberalization: Plant-Level Evidence,2017,Northeastern University,center;census;business;working;rdc;firm;mimeo;evidence;university;trade
Data in Action: Data-Driven Decision Making in U.S. Manufacturing,2016,Center for Economic Studies,working;economic;rdc;paper;studies;center;firm;discussion;manufacturing;data
Who Are the People in My Neighborhood? The 'Contextual Fallacy' of Measuring Individual Context with Census Geographies,2018,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;census
Who Are the People in My Neighborhood? The 'Contextual Fallacy' of Measuring Individual Context with Census Geographies,2020,Geographical Analysis,evidence;economics;economic;discussion;data;center;business;impact;working;census
Bayesian Unit Level Modeling of Non-Gaussian Survey Data Under Informative Sampling with Application to Small Area Estimation,2021,University of Missouri,economics;economic;discussion;center;census;business;impact;working;university;data
Computationally Efficient Bayesian Unit-Level Models for Non-Gaussian Data Under Informative Sampling with Application to Estimation of Health Insurance Coverage,2022,Annals of Applied Statistics,evidence;economics;economic;discussion;center;census;business;impact;working;data
Comparison of Unit Level Small Area Estimation Modeling Approaches for Survey Data Under Informative Sampling,2023,Journal of Survey Statistics and Methodology,discussion;trade;center;census;business;rdc;studies;journal;data;2023
Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling: A Comprehensive Overview with Extensions,2019,arXiv,evidence;economics;economic;discussion;center;census;business;impact;working;data
A Comprehensive Overview of Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling,2023,Journal of Survey Statistics and Methodology,discussion;trade;center;census;business;rdc;studies;journal;data;2023
Individual Characteristics and the Disability Employment Gap,2015,Journal of Disability Policy Studies,economic;discussion;data;center;census;business;firms;rdc;studies;journal
State and Local Determinants of Employment Outcomes Among Individuals With Disabilities,2018,Journal of Disability Policy Studies,economic;discussion;data;center;census;business;firms;rdc;studies;journal
State and Local Determinants of Employment Outcomes among Individuals with Disabilities,2016,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
The Best Deal in Town? Associations between Public Housing and Labor Market Inequality in the New Orleans-Metairie-Kenner MSA,2014,University of North Carolina at Charlotte,data;center;census;business;firm;working;rdc;university;labor;market
Associations between Public Housing and Individual Earnings in New Orleans,2015,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;labor;market
A Comparison of Firm Age in the Survey of Business Owners and the Longitudinal Business Database,2020,CES Technical Notes Series,discussion;data;impact;working;economic;studies;center;firm;census;business
"Home Equity Lending, Credit Constraints and Small Business in the US.",2020,Center for Economic Studies,discussion;data;firms;studies;center;working;census;papers;economics;business
"Home Equity Lending, Credit Constraints and Small Business in the US.",2022,Economic Inquiry,evidence;economics;discussion;data;center;census;impact;working;economic;business
Workplace Inequality in Pay Growth: A First Look,2021,Unknown,economic;discussion;data;center;census;business;impact;working;mimeo;evidence
Venture Labor: A Nonfinancial Signal for Start-up Success,2022,Unknown,economic;discussion;data;center;census;business;firms;working;mimeo;labor
The Disappearing IPO Puzzle: New Insights from Proprietary U.S. Census Data on Private Firms,2020,Center for Economic Studies,discussion;business;economic;paper;studies;center;working;firms;data;census
Workplace Inequality in the U.S. and Managerial Entrenchment: Evidence from Pay Growth,2022,Unknown,economic;discussion;data;center;census;business;impact;working;mimeo;evidence
The Employee Clientele of Corporate Leverage: Evidence from Personal Labor Income Diversification,2018,Center for Economic Studies,business;firms;working;economic;paper;studies;center;discussion;evidence;labor
Diffusers of Entrepreneurship,2021,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
Three Essays in Corporate Finance,2021,University of Georgia,evidence;economics;economic;discussion;data;center;census;business;impact;working
Debtor Protection and Business Dynamism,2019,The Journal of Law and Economics,evidence;economic;discussion;data;center;census;impact;journal;business;economics
Personal Bankruptcy Law and Entrepreneurship,2017,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
"Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",2015,NBER,business;evidence;economic;working;labor;productivity;trade;papers;manufacturing;market
"Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",2015,Center for Economic Studies,studies;center;working;labor;productivity;trade;census;papers;manufacturing;market
"Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",2018,Cowles Foundation,working;discussion;labor;university;productivity;trade;papers;economics;manufacturing;market
Two-sided Search in International Markets,2021,Unknown,economics;economic;discussion;data;center;census;business;impact;working;mimeo
A Search and Learning Model of Export Dynamics,2021,NBER,economics;economic;discussion;data;center;census;business;impact;paper;working
Are Customs Records Consistent Across Countries? Evidence from the U.S. and Colombia,2020,Center for Economic Studies,data;business;firms;economic;studies;center;working;evidence;census;papers
Two-sided Search in International Markets,2022,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
Two-sided Search in International Markets,2022,NBER,economics;discussion;data;center;census;business;impact;economic;working;papers
Two-sided Search in International Markets,2016,Society for Economic Dynamics,economics;discussion;data;center;census;business;impact;working;economic;papers
A Search and Learning Model of Export Dynamics,2015,Society for Economic Dynamics,economics;discussion;data;center;census;business;impact;working;economic;papers
Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,2017,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Firm-to-Firm Matching Along the Global Supply Chain,2014,Harvard University,discussion;data;center;census;business;firms;working;rdc;university;firm
Global Multisourcing and Supply Risk Diversification,2017,Harvard University,discussion;data;center;census;business;firms;working;rdc;mimeo;university
Evaluating the Long-Term Effect of NIST MEP Services on Establishment Performance,2015,Center for Economic Studies,working;economic;rdc;paper;studies;center;firm;discussion;business;productivity
Evaluating the Impact of Manufacturing Extension Services on Establishment Performance,2018,Economic Development Quarterly,center;census;working;economic;rdc;firm;business;impact;productivity;manufacturing
Food and Agricultural Industries: Opportunities for Improving Measurement and Reporting,2017,American Journal of Agricultural Economics,data;center;census;impact;rdc;firm;evidence;journal;business;economics
Employment and Payroll Dynamics in Support Services for Agriculture,2022,Applied Economic Perspectives and Policy,discussion;data;center;census;impact;working;economic;firm;evidence;business
Food and Agricultural Industries: Opportunities for Improving Measurement and Reporting,2016,Center for Economic Studies,working;economic;rdc;paper;studies;center;firm;discussion;evidence;business
Employment and Payroll Dynamics in Support Services for Agriculture,2021,Unknown,discussion;data;center;census;impact;working;firm;mimeo;evidence;business
Social Influence and the Consumer Bankruptcy Decision,2017,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Social Influence and the Consumer Bankruptcy Decision,2020,Contemporary Economic Policy,evidence;economics;discussion;data;center;census;business;impact;working;economic
Who Files for Personal Bankruptcy in the United States?,2019,Journal of Consumer Affairs,evidence;economics;economic;discussion;data;center;census;business;impact;journal
Who Files for Personal Bankruptcy in the United States?,2017,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
How Innovation Really Works,2017,McGraw-Hill,evidence;economics;economic;discussion;data;center;census;business;working;impact
Reconciling the Firm Size and Innovation Puzzle,2020,Organization Science,economics;economic;discussion;data;center;census;business;working;firm;impact
Outsourced R&D and GDP Growth,2016,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;impact
Reconciling the Firm Size and Innovation Puzzle,2016,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;impact
Does Firm Ownership Matter For the Business Cycle?,2019,Unknown,economic;discussion;data;center;census;impact;working;mimeo;business;firm
How Do CEOs Make Strategy?,2020,Academy of Management Proceedings,economics;economic;discussion;data;center;census;business;impact;working;firm
How Do CEOs Make Strategy?,2020,NBER,economic;discussion;data;center;census;business;impact;paper;working;firm
Asset Allocation in Bankruptcy,2016,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;firm;discussion
Bankruptcy Spillovers,2019,Journal of Financial Economics,economic;discussion;data;center;census;business;impact;firm;journal;economics
Bankruptcy Spillovers,2017,NBER,economic;discussion;data;center;census;business;impact;paper;working;firm
Bankruptcy Spillovers,2017,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;firm;discussion
Asset Allocation in Bankruptcy,2019,Journal of Finance,economics;economic;discussion;data;center;census;business;impact;firm;journal
"Non-Technological and Mixed Modes of Innovation in the United States: Evidence from the Business Research and Development and Innovation Survey, 2008-2011",2014,Center for Economic Studies,firms;working;economic;rdc;paper;studies;center;discussion;evidence;business
"R&D, Attrition and Multiple Imputation in BRDIS",2017,Center for Economic Studies,census;firms;working;economic;rdc;paper;studies;center;discussion;business
"Identification Strategies for Models of Innovation, R&D and Productivity",2015,"In JSM Proceedings, Business and Economic Statistics Section, American Statistical Association",discussion;data;center;census;firms;working;economic;rdc;productivity;business
Innovation Output Choices and Characteristics of Firms in the U.S,2014,Center for Economic Studies,census;working;economic;rdc;paper;studies;center;discussion;business;firms
Sensitivity of Econometric Estimates to Item Non-response Adjustment,2016,Proceedings of the Fifth International Conference on Establishment Surveys,economics;economic;discussion;data;center;census;impact;working;rdc;business
Finding a Needle in a Haystack: The Theoretical and Empirical Foundations of Assessing Disclosure Risk for Contextualized Microdata,2016,Proceedings of Statistics Canada Symposium 2016.,evidence;economics;economic;discussion;data;center;census;business;impact;working
Challenges in the Measurement of Leakage Risk,2018,American Economic Review,economics;discussion;data;center;census;business;impact;working;economic;trade
Measuring Leakage Risk,2016,California Air Resources Board,economics;economic;discussion;data;center;census;business;impact;working;trade
Mitigating Emissions Leakage in Incomplete Carbon Markets,2019,EI Working Paper,economic;discussion;data;center;census;business;firms;paper;working;trade
Introduction of Head Start and Maternal Labor Supply: Evidence from a Regression Discontinuity Design,2016,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;evidence;labor
Breaking Up Is Hard To Do: Why Firms Fragment Production Across Locations,2013,Center for Economic Studies,census;business;working;economic;rdc;paper;studies;center;discussion;firms
Factoryless Goods Producers in the U.S,2013,Center for Economic Studies,data;census;business;working;economic;paper;studies;center;discussion;firms
Technology and Production Fragmentation: Domestic versus Foreign Sourcing,2015,Dartmouth University,economic;discussion;data;center;census;business;working;mimeo;university;firms
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2017,American Economic Review,discussion;data;center;census;business;impact;working;economic;evidence;firms
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2014,Center for Economic Studies,census;business;working;economic;paper;studies;center;discussion;evidence;firms
New Perspectives on the Decline of U.S. Manufacturing Employment,2018,NBER,economic;discussion;data;center;census;business;paper;working;firms;manufacturing
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2017,Dartmouth University,discussion;data;center;census;business;working;mimeo;evidence;university;firms
Technology and Production Fragmentation: Domestic versus Foreign Sourcing,2017,Review of Economic Studies,discussion;data;center;census;business;impact;working;economic;studies;firms
Factoryless Goods Producers in the U.S,2013,NBER,economic;discussion;data;center;census;business;impact;paper;working;firms
Factoryless Goods Producers in the U.S,2017,Oxford University Press,economic;discussion;data;center;census;business;impact;working;university;firms
Technology and Production Fragmentation: Domestic versus Foreign Sourcing,2016,NBER,economic;discussion;data;center;census;business;impact;paper;working;firms
Factoryless Goods Producing Firms,2015,American Economic Review,economics;discussion;data;center;census;business;impact;working;economic;firms
New Perspectives on the Decline of U.S. Manufacturing Employment,2018,Center for Economic Studies,census;business;working;economic;paper;studies;center;discussion;firms;manufacturing
The Margins of Global Sourcing: Theory and Evidence from U.S. Firms,2014,NBER,discussion;data;center;census;business;impact;paper;working;evidence;firms
New Perspectives on the Decline of U.S. Manufacturing Employment,2018,Journal of Economic Perspectives,discussion;data;center;census;business;impact;economic;journal;firms;manufacturing
Constructing a Bridge File: Compustat to the SSEL,2020,Center for Economic Studies Technical Notes Series,economics;discussion;data;business;impact;working;economic;studies;center;census
Exports: LFTTD vs COMPUSTAT SEGMENT,2020,Center for Economic Studies Technical Notes Series,economics;discussion;data;business;impact;working;economic;studies;center;census
Concentrating on the Fall of the Labor Share,2017,NBER,census;business;evidence;rdc;paper;working;labor;productivity;trade;manufacturing
Concentrating on the Fall of the Labor Share,2017,American Economic Review,census;business;firm;working;economic;rdc;labor;productivity;trade;manufacturing
Employer Failure and Employee Careers: Evidence From the US Census and an Innovation-Driven Industr,2023,Unknown,discussion;data;center;impact;economic;mimeo;evidence;business;census;2023
Immigrant Entrepreneurship,2016,NBER,economics;discussion;data;center;census;impact;economic;paper;working;business
Immigrant Entrepreneurship in America: Evidence from the Survey of Business Owners 2007 & 2012,2018,NBER,discussion;data;center;census;impact;economic;paper;working;evidence;business
Immigrant Entrepreneurship in America: Evidence from the Survey of Business Owners 2007 & 2012,2020,Research Policy,economics;discussion;data;center;census;impact;working;economic;evidence;business
"Employee Non-compete Agreements, Gender, and Entrepreneurship",2022,Organization Science,evidence;economics;discussion;data;center;census;impact;working;economic;business
"Ratings Systems and Increased Heterogeneity in Business Performance, Evidence from the New York City Restaurant Industry, 1994 – 2013",2020,Unknown,discussion;data;center;census;impact;working;economic;mimeo;evidence;business
"The Advent and Expansion of Internet Ratings, Heterogeneous Consumer Segments, and Comparative Business Performance",2019,Unknown,economics;discussion;data;center;census;impact;working;economic;mimeo;business
"Ratings Systems and Increased Heterogeneity in Business Performance: Evidence from the New York City Restaurant Industry, 1994 – 2013",2020,Strategic Management Journal,economics;discussion;data;center;census;impact;economic;evidence;journal;business
Punctuated Entrepreneurship (Among Women),2018,Center for Economic Studies,data;census;firms;working;paper;studies;center;discussion;business;economic
Immigrants Play a Disproportionate Role in American Entrepreneurship,2016,Harvard Business Review,economics;discussion;data;center;census;impact;working;economic;rdc;business
Immigrant Entrepreneurship,2017,University of Chicago Press,economics;discussion;data;center;census;impact;working;economic;university;business
Disambiguating Categorical Competition Using A Natural Experimental Approach,2023,Unknown,economics;discussion;data;center;census;impact;economic;mimeo;business;2023
Three Essays on Corporate Innovations,2015,Harvard University,discussion;data;center;census;business;firms;working;rdc;firm;university
Examining Multi-Level Correlates of Suicide by Merging NVDRS and ACS Data,2017,Center for Economic Studies,census;business;firms;working;economic;paper;studies;center;discussion;data
Small and Large Firms over the Business Cycle,2017,Federal Reserve Bank of Minneapolis Working Paper,discussion;data;center;census;impact;paper;working;firm;business;firms
Small and Large Firms Over the Business Cycle,2020,American Economic Review,discussion;data;center;census;impact;working;economic;firm;business;firms
Small and Large Firms Over the Business Cycle,2018,Center for Economic Studies,census;working;economic;paper;studies;center;firm;discussion;business;firms
The Impacts of Lower Natural Gas Prices on Jobs in the US Manufacturing Sector,2019,The Energy Journal,economics;discussion;data;center;census;business;impact;economic;journal;manufacturing
